Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range,SMA_20,SMA_50,SMA_200,EMA_20,Daily_Return,Log_Return,Cumulative_Return,Rolling_Vol_20,Signal,Golden_Cross,Death_Cross
2024-03-11,172.94,174.38,172.05,172.75,171.192,60139500,2024,3,11,Monday,2.33,179.286,184.6062,183.8726,178.0741,0.011832,0.011762,3.011388,0.168032,SELL,0,0
2024-03-12,173.15,174.03,171.01,173.23,171.6677,59825400,2024,3,12,Tuesday,3.02,178.59,184.1992,183.8796,177.6127,0.002779,0.002775,3.022536,0.168946,SELL,0,0
2024-03-13,172.77,173.19,170.76,171.13,169.5866,52488700,2024,3,13,Wednesday,2.43,177.8945,183.7712,183.8702,176.9953,-0.012123,-0.012197,2.97377,0.16947,SELL,0,0
2024-03-14,172.91,174.31,172.05,173.0,171.4398,72913500,2024,3,14,Thursday,2.26,177.337,183.5184,183.8581,176.6148,0.010927,0.010868,3.017192,0.177307,SELL,0,0
2024-03-15,171.17,172.62,170.29,172.62,171.0632,121752700,2024,3,15,Friday,2.33,176.775,183.2858,183.8347,176.2344,-0.002197,-0.002199,3.008366,0.177252,SELL,0,0
2024-03-18,175.57,177.71,173.52,173.72,172.1532,75604200,2024,3,18,Monday,4.19,176.3455,183.122,183.8171,175.9949,0.006372,0.006352,3.033907,0.179114,SELL,0,0
2024-03-19,174.34,176.61,173.03,176.08,174.492,55215200,2024,3,19,Tuesday,3.58,176.0715,183.02,183.797,176.003,0.013585,0.013494,3.088708,0.187617,SELL,0,0
2024-03-20,175.72,178.67,175.09,178.67,177.0586,53423100,2024,3,20,Wednesday,3.58,175.889,182.8822,183.7856,176.257,0.014709,0.014602,3.148849,0.195379,SELL,0,0
2024-03-21,177.05,177.49,170.84,171.37,169.8245,106181300,2024,3,21,Thursday,6.65,175.239,182.6068,183.7445,175.7916,-0.040857,-0.041716,2.979339,0.235668,SELL,0,0
2024-03-22,171.76,173.05,170.06,172.28,170.7262,71160100,2024,3,22,Friday,2.99,174.727,182.3286,183.7099,175.4571,0.00531,0.005296,3.00047,0.236356,SELL,0,0
2024-03-25,170.57,171.94,169.45,170.85,169.3092,54288300,2024,3,25,Monday,2.49,174.2115,182.0338,183.675,175.0184,-0.0083,-0.008335,2.967266,0.236597,SELL,0,0
2024-03-26,170.0,171.42,169.58,169.71,168.1794,57388400,2024,3,26,Tuesday,1.84,173.5655,181.7096,183.6208,174.5128,-0.006673,-0.006695,2.940792,0.233335,SELL,0,0
2024-03-27,170.41,173.6,170.11,173.31,171.747,60273300,2024,3,27,Wednesday,3.49,173.16,181.5032,183.5825,174.3983,0.021213,0.020991,3.024388,0.248887,SELL,0,0
2024-03-28,171.75,172.23,170.51,171.48,169.9335,65672700,2024,3,28,Thursday,1.72,172.6965,181.2792,183.521,174.1203,-0.010559,-0.010615,2.981895,0.250633,SELL,0,0
2024-04-01,171.19,171.25,169.48,170.03,168.4965,46240500,2024,4,1,Monday,1.77,172.215,180.9072,183.4546,173.7308,-0.008456,-0.008492,2.948224,0.251232,SELL,0,0
2024-04-02,169.08,169.34,168.23,168.84,167.3173,49329500,2024,4,2,Tuesday,1.11,171.902,180.4528,183.379,173.265,-0.006999,-0.007023,2.92059,0.237238,SELL,0,0
2024-04-03,168.79,170.68,168.58,169.65,168.1199,47691700,2024,4,3,Wednesday,2.1,171.8785,179.968,183.2972,172.9207,0.004797,0.004786,2.939397,0.215951,SELL,0,0
2024-04-04,170.29,171.92,168.82,168.82,167.2975,53704400,2024,4,4,Thursday,3.1,171.8635,179.4408,183.2167,172.5302,-0.004892,-0.004904,2.920126,0.215626,SELL,0,0
2024-04-05,169.59,170.39,168.95,169.58,168.0506,42104800,2024,4,5,Friday,1.44,171.8925,178.9424,183.1396,172.2492,0.004502,0.004492,2.937774,0.216192,SELL,0,0
2024-04-08,169.03,169.2,168.24,168.45,166.9308,37425500,2024,4,8,Monday,0.96,171.7785,178.428,183.062,171.8874,-0.006664,-0.006686,2.911533,0.214162,SELL,0,0
2024-04-09,168.7,170.08,168.35,169.67,168.1398,42373800,2024,4,9,Tuesday,1.73,171.6245,177.973,182.9754,171.6762,0.007243,0.007216,2.939864,0.211232,SELL,0,0
2024-04-10,168.8,169.09,167.11,167.78,166.2668,49709300,2024,4,10,Wednesday,1.98,171.352,177.494,182.8808,171.3051,-0.011139,-0.011202,2.895978,0.213853,SELL,0,0
2024-04-11,168.34,175.46,168.16,175.04,173.4613,91070300,2024,4,11,Thursday,7.3,171.5475,177.234,182.8297,171.6608,0.043271,0.042361,3.064561,0.262301,SELL,0,0
2024-04-12,174.26,178.36,174.21,176.55,174.9577,101670900,2024,4,12,Friday,4.15,171.725,177.077,182.7722,172.1265,0.008627,0.00859,3.099626,0.261301,SELL,0,0
2024-04-15,175.36,176.63,172.5,172.69,171.1326,73531800,2024,4,15,Monday,4.13,171.7285,176.7936,182.6894,172.1801,-0.021863,-0.022106,3.009995,0.273669,SELL,0,0
2024-04-16,171.75,173.76,168.27,169.38,167.8524,73711200,2024,4,16,Tuesday,5.49,171.5115,176.4642,182.5883,171.9134,-0.019167,-0.019353,2.933136,0.280901,SELL,0,0
2024-04-17,169.61,170.65,168.0,168.0,166.4848,50901200,2024,4,17,Wednesday,2.65,171.1075,176.0706,182.4584,171.5407,-0.008147,-0.008181,2.901093,0.276373,SELL,0,0
2024-04-18,168.03,168.64,166.55,167.04,165.5335,43122900,2024,4,18,Thursday,2.09,170.526,175.6254,182.3313,171.1121,-0.005714,-0.005731,2.878802,0.269213,SELL,0,0
2024-04-19,166.21,166.4,164.08,165.0,163.5119,68149400,2024,4,19,Friday,2.32,170.2075,175.1372,182.1997,170.53,-0.012213,-0.012288,2.83143,0.23285,SELL,0,0
2024-04-22,165.52,167.26,164.77,165.84,164.3443,48116400,2024,4,22,Monday,2.49,169.8855,174.6876,182.0698,170.0833,0.005091,0.005078,2.850936,0.232762,SELL,0,0
2024-04-23,165.35,167.05,164.92,166.9,165.3948,49537800,2024,4,23,Tuesday,2.13,169.688,174.2486,181.9509,169.7802,0.006392,0.006371,2.875551,0.233164,SELL,0,0
2024-04-24,166.54,169.3,166.21,169.02,167.4957,48251800,2024,4,24,Wednesday,3.09,169.6535,173.886,181.853,169.7078,0.012702,0.012622,2.924778,0.237096,SELL,0,0
2024-04-25,169.53,170.61,168.15,169.89,168.3578,50558300,2024,4,25,Thursday,2.46,169.4825,173.583,181.7621,169.7251,0.005147,0.005134,2.944979,0.224465,SELL,0,0
2024-04-26,169.88,171.34,169.18,169.3,167.7731,44838400,2024,4,26,Friday,2.16,169.3735,173.286,181.6597,169.6846,-0.003473,-0.003479,2.931278,0.221815,SELL,0,0
2024-04-29,173.37,176.03,173.1,173.5,171.9352,68169400,2024,4,29,Monday,2.93,169.547,173.0788,181.5745,170.048,0.024808,0.024505,3.028805,0.236993,SELL,0,0
2024-04-30,173.33,174.99,170.0,170.33,168.7938,65934800,2024,4,30,Tuesday,4.99,169.6215,172.8392,181.4727,170.0749,-0.018271,-0.01844,2.955195,0.245342,SELL,0,0
2024-05-01,169.58,172.71,169.11,169.3,167.7731,50383100,2024,5,1,Wednesday,3.6,169.604,172.594,181.3492,170.0011,-0.006047,-0.006065,2.931278,0.245873,SELL,0,0
2024-05-02,172.51,173.42,170.89,173.03,171.4695,94214900,2024,5,2,Thursday,2.53,169.8145,172.4082,181.2458,170.2895,0.022032,0.021793,3.017892,0.257073,SELL,0,0
2024-05-03,186.65,187.0,182.66,183.38,181.7262,163224100,2024,5,3,Friday,4.34,170.5045,172.3884,181.1871,171.5362,0.059816,0.058096,3.258226,0.330536,SELL,0,0
2024-05-06,182.35,184.2,180.42,181.71,180.0712,78569700,2024,5,6,Monday,3.78,171.1675,172.3722,181.13,172.5052,-0.009107,-0.009148,3.219446,0.331705,SELL,0,0
2024-05-07,183.45,184.9,181.32,182.4,180.755,77305800,2024,5,7,Tuesday,3.58,171.804,172.397,181.0823,173.4475,0.003797,0.00379,3.235468,0.331484,SELL,0,0
2024-05-08,182.85,183.07,181.45,182.74,181.0919,45057100,2024,5,8,Wednesday,1.62,172.552,172.3992,181.0323,174.3325,0.001864,0.001862,3.243363,0.326879,BUY,1,0
2024-05-09,182.56,184.66,182.11,184.57,182.9054,48983000,2024,5,9,Thursday,2.55,173.0285,172.4622,180.987,175.3075,0.010014,0.009964,3.285856,0.294215,BUY,0,0
2024-05-10,184.9,185.09,182.13,183.05,181.6452,50759500,2024,5,10,Friday,2.96,173.3535,172.5082,180.9298,176.0449,-0.008235,-0.008269,3.250562,0.29588,BUY,0,0
2024-05-13,185.44,187.1,184.62,186.28,184.8503,72044800,2024,5,13,Monday,2.48,174.033,172.6406,180.8951,177.0197,0.017645,0.017492,3.325563,0.286764,BUY,0,0
