Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range,SMA_20,SMA_50,SMA_200,EMA_20,Daily_Return,Log_Return,Cumulative_Return,Rolling_Vol_20,Signal,Golden_Cross,Death_Cross
2018-06-29,98.93,99.91,98.33,98.61,91.3067,28053200,2018,6,29,Friday,1.58,100.5505,98.0954,,99.5893,-0.000203,-0.000203,0.147291,0.151121,BUY,0,0
2018-07-02,98.1,100.06,98.0,100.01,92.603,19564500,2018,7,2,Monday,2.06,100.4675,98.1956,,99.6293,0.014197,0.014098,0.163579,0.156946,BUY,0,0
2018-07-03,100.48,100.63,98.94,99.05,91.7141,14670300,2018,7,3,Tuesday,1.69,100.3105,98.2696,,99.5742,-0.009599,-0.009645,0.15241,0.158306,BUY,0,0
2018-07-05,99.5,99.92,99.03,99.76,92.3715,18977400,2018,7,5,Thursday,0.89,100.174,98.4024,,99.5919,0.007168,0.007143,0.160671,0.160579,BUY,0,0
2018-07-06,99.89,101.43,99.67,101.16,93.6678,19234600,2018,7,6,Friday,1.76,100.188,98.5794,,99.7412,0.014034,0.013936,0.176959,0.159888,BUY,0,0
2018-07-09,101.65,102.25,101.25,101.85,94.3067,18212000,2018,7,9,Monday,1.0,100.199,98.7312,,99.942,0.006821,0.006798,0.184987,0.159533,BUY,0,0
2018-07-10,102.0,102.51,101.86,102.12,94.5567,19293100,2018,7,10,Tuesday,0.65,100.2525,98.8572,,100.1495,0.002651,0.002647,0.188129,0.158212,BUY,0,0
2018-07-11,101.15,102.34,101.1,101.98,94.4271,19644600,2018,7,11,Wednesday,1.24,100.286,99.0264,,100.3238,-0.001371,-0.001372,0.1865,0.158171,BUY,0,0
2018-07-12,102.77,104.41,102.73,104.19,96.4734,24335900,2018,7,12,Thursday,1.68,100.453,99.2102,,100.692,0.021671,0.021439,0.212213,0.173941,BUY,0,0
2018-07-13,104.37,105.6,104.09,105.43,97.6216,24635200,2018,7,13,Friday,1.51,100.6535,99.4486,,101.1432,0.011901,0.011831,0.226639,0.177214,BUY,0,0
