Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range
2019-07-30,52.19,52.54,51.8275,52.195,49.9867,135742800,2019,7,30,Tuesday,0.7125
2019-07-31,54.105,55.3425,52.825,53.26,51.0066,277125600,2019,7,31,Wednesday,2.5175
2019-08-01,53.475,54.5075,51.685,52.1075,49.9029,216071600,2019,8,1,Thursday,2.8225
2019-08-02,51.3825,51.6075,50.4075,51.005,48.847,163448400,2019,8,2,Friday,1.2
2019-08-05,49.4975,49.6625,48.145,48.335,46.29,209572000,2019,8,5,Monday,1.5175
2019-08-06,49.0775,49.5175,48.51,49.25,47.1663,143299200,2019,8,6,Tuesday,1.0075
2019-08-07,48.8525,49.89,48.455,49.76,47.6547,133457600,2019,8,7,Wednesday,1.435
2019-08-08,50.05,50.8825,49.8475,50.8575,48.7057,108038000,2019,8,8,Thursday,1.035
2019-08-09,50.325,50.69,49.8225,50.2475,48.3044,98478800,2019,8,9,Friday,0.8675
2019-08-12,49.905,50.5125,49.7875,50.12,48.1818,89927600,2019,8,12,Monday,0.725
2019-08-13,50.255,53.035,50.12,52.2425,50.2222,188874000,2019,8,13,Tuesday,2.915
2019-08-14,50.79,51.61,50.6475,50.6875,48.7274,146189600,2019,8,14,Wednesday,0.9625
2019-08-15,50.865,51.285,49.9175,50.435,48.4846,108909600,2019,8,15,Thursday,1.3675
2019-08-16,51.07,51.79,50.96,51.625,49.6286,110481600,2019,8,16,Friday,0.83
2019-08-19,52.655,53.1825,52.5075,52.5875,50.5539,97654400,2019,8,19,Monday,0.675
2019-08-20,52.72,53.3375,52.58,52.59,50.5563,107537200,2019,8,20,Tuesday,0.7575
2019-08-21,53.2475,53.4125,52.9,53.16,51.1043,86141600,2019,8,21,Wednesday,0.5125
2019-08-22,53.2975,53.61,52.6875,53.115,51.061,89014800,2019,8,22,Thursday,0.9225
2019-08-23,52.3575,53.0125,50.25,50.66,48.7009,187272000,2019,8,23,Friday,2.7625
2019-08-26,51.465,51.7975,51.265,51.6225,49.6262,104174400,2019,8,26,Monday,0.5325
2019-08-27,51.965,52.1375,50.8825,51.04,49.0662,103493200,2019,8,27,Tuesday,1.255
2019-08-28,51.025,51.43,50.83,51.3825,49.3955,63755200,2019,8,28,Wednesday,0.6
2019-08-29,52.125,52.33,51.665,52.2525,50.2318,83962000,2019,8,29,Thursday,0.665
2019-08-30,52.54,52.6125,51.8,52.185,50.167,84573600,2019,8,30,Friday,0.8125
2019-09-03,51.6075,51.745,51.055,51.425,49.4364,80092000,2019,9,3,Tuesday,0.69
2019-09-04,52.0975,52.37,51.83,52.2975,50.2751,76752400,2019,9,4,Wednesday,0.54
2019-09-05,53.0,53.4925,52.8775,53.32,51.2581,95654800,2019,9,5,Thursday,0.615
2019-09-06,53.5125,53.605,53.1275,53.315,51.2533,77449200,2019,9,6,Friday,0.4775
2019-09-09,53.71,54.11,52.7675,53.5425,51.472,109237600,2019,9,9,Monday,1.3425
2019-09-10,53.465,54.195,52.9275,54.175,52.08,127111600,2019,9,10,Tuesday,1.2675
2019-09-11,54.5175,55.9275,54.4325,55.8975,53.7359,177158400,2019,9,11,Wednesday,1.495
2019-09-12,56.2,56.605,55.715,55.7725,53.6157,128906800,2019,9,12,Thursday,0.89
2019-09-13,55.0,55.1975,54.255,54.6875,52.5727,159053200,2019,9,13,Friday,0.9425
2019-09-16,54.4325,55.0325,54.39,54.975,52.8491,84632400,2019,9,16,Monday,0.6425
2019-09-17,54.99,55.205,54.78,55.175,53.0413,73274800,2019,9,17,Tuesday,0.425
2019-09-18,55.265,55.7125,54.86,55.6925,53.5388,101360000,2019,9,18,Wednesday,0.8525
2019-09-19,55.5025,55.94,55.0925,55.24,53.1038,88242400,2019,9,19,Thursday,0.8475
2019-09-20,55.345,55.64,54.3675,54.4325,52.3275,221652400,2019,9,20,Friday,1.2725
2019-09-23,54.7375,54.96,54.4125,54.68,52.5655,76662000,2019,9,23,Monday,0.5475
2019-09-24,55.2575,55.6225,54.2975,54.42,52.3155,124763200,2019,9,24,Tuesday,1.325
2019-09-25,54.6375,55.375,54.285,55.2575,53.1207,87613600,2019,9,25,Wednesday,1.09
2019-09-26,55.0,55.235,54.7075,54.9725,52.8467,75334000,2019,9,26,Thursday,0.5275
2019-09-27,55.135,55.24,54.32,54.705,52.5895,101408000,2019,9,27,Friday,0.92
2019-09-30,55.225,56.145,55.1975,55.9925,53.8272,103909600,2019,9,30,Monday,0.9475
2019-10-01,56.2675,57.055,56.05,56.1475,53.9762,139223200,2019,10,1,Tuesday,1.005
2019-10-02,55.765,55.895,54.4825,54.74,52.6232,138449200,2019,10,2,Wednesday,1.4125
2019-10-03,54.6075,55.24,53.7825,55.205,53.0702,114426000,2019,10,3,Thursday,1.4575
2019-10-04,56.41,56.8725,55.9725,56.7525,54.5578,138478800,2019,10,4,Friday,0.9
2019-10-07,56.5675,57.4825,56.46,56.765,54.5698,122306000,2019,10,7,Monday,1.0225
2019-10-08,56.455,57.015,56.0825,56.1,53.9306,111820000,2019,10,8,Tuesday,0.9325
