Date,Open,High,Low,Close,Adj_Close,Volume,Year,Month,Day,Weekday,Daily_Range
2022-04-21,129.25,130.0985,124.5265,124.8145,123.7914,36446000,2022,4,21,Thursday,5.572
2022-04-22,125.0,125.402,118.925,119.6355,118.6548,56884000,2022,4,22,Friday,6.477
2022-04-25,119.101,123.2775,118.511,123.074,122.0651,46128000,2022,4,25,Monday,4.7665
2022-04-26,122.2945,122.51,118.511,118.65,117.6774,73054000,2022,4,26,Tuesday,3.999
2022-04-27,114.4695,117.242,112.7365,114.2945,113.3576,91820000,2022,4,27,Wednesday,4.5055
2022-04-28,116.415,119.6495,114.115,118.5225,117.5509,48884000,2022,4,28,Thursday,5.5345
2022-04-29,116.7345,117.92,113.8145,114.1095,113.1741,42676000,2022,4,29,Friday,4.1055
2022-05-02,113.405,116.7455,112.6,116.583,115.6273,35534000,2022,5,2,Monday,4.1455
2022-05-03,116.4305,118.442,116.0345,117.334,116.3722,24968000,2022,5,3,Tuesday,2.4075
2022-05-04,117.0315,122.8545,115.116,122.261,121.2588,49916000,2022,5,4,Wednesday,7.7385
2022-05-05,120.204,121.039,115.0055,116.5055,115.5505,45840000,2022,5,5,Thursday,6.0335
2022-05-06,115.1845,117.5715,114.0155,115.7465,114.7977,39710000,2022,5,6,Friday,3.556
2022-05-09,113.25,115.077,112.0005,112.511,111.5887,40802000,2022,5,9,Monday,3.0765
2022-05-10,115.5075,116.25,112.9005,114.395,113.4573,39900000,2022,5,10,Tuesday,3.3495
2022-05-11,113.2365,116.3645,113.2365,113.6025,112.6713,37534000,2022,5,11,Wednesday,3.128
2022-05-12,111.3775,114.295,109.8245,112.844,111.919,53836000,2022,5,12,Thursday,4.4705
2022-05-13,114.533,117.875,113.605,116.0505,115.0992,35038000,2022,5,13,Friday,4.27
2022-05-16,114.9555,116.17,113.8895,114.445,113.5069,25990000,2022,5,16,Monday,2.2805
2022-05-17,116.8405,116.9,114.87,116.473,115.5182,23054000,2022,5,17,Tuesday,2.03
2022-05-18,115.0,115.4,111.5555,111.8995,110.9822,35126000,2022,5,18,Wednesday,3.8445
2022-05-19,111.4315,113.01,110.0,110.384,109.4792,34144000,2022,5,19,Thursday,3.01
2022-05-20,111.951,112.1835,105.7965,108.908,108.0153,48962000,2022,5,20,Friday,6.387
2022-05-23,109.5875,112.1475,108.741,111.488,110.5741,37184000,2022,5,23,Monday,3.4065
2022-05-24,105.772,106.4585,101.8845,105.97,105.1013,76780000,2022,5,24,Tuesday,4.574
2022-05-25,104.9855,106.5,103.8565,105.805,104.9377,40258000,2022,5,25,Wednesday,2.6435
2022-05-26,105.677,108.6495,105.225,107.7925,106.9089,37948000,2022,5,26,Thursday,3.4245
2022-05-27,109.483,112.318,109.1385,112.3165,111.3958,37914000,2022,5,27,Friday,3.1795
2022-05-31,112.7465,115.735,112.0785,113.762,112.8295,50012000,2022,5,31,Tuesday,3.6565
2022-06-01,114.855,117.1015,113.25,113.892,112.9584,36606000,2022,6,1,Wednesday,3.8515
2022-06-02,114.0,117.8995,112.9465,117.6225,116.6583,37992000,2022,6,2,Thursday,4.953
